d_lt	d_runway	d_myear	d_den	d_period	total
L	06	2011	N	N	5043.00000000
L	06	2011	N	O	1719.00000000
L	06	2012	D	D	1791.00000000
L	06	2012	D	L	15894.00000000
L	06	2012	D	O	3198.00000000
L	06	2012	D	S	9789.00000000
L	06	2012	E	L	4666.00000000
L	06	2012	E	N	985.00000000
L	06	2012	E	O	2770.00000000
L	06	2012	E	S	4335.00000000
L	06	2012	N	N	5130.00000000
L	06	2012	N	O	1927.00000000
L	06	2013	D	D	2373.00000000
L	06	2013	D	L	21213.00000000
L	06	2013	D	O	5320.00000000
L	06	2013	D	S	14318.00000000
L	06	2013	E	L	6387.00000000
L	06	2013	E	N	1317.00000000
L	06	2013	E	O	3595.00000000
L	06	2013	E	S	5817.00000000
L	06	2013	N	N	6363.00000000
L	06	2013	N	O	2535.00000000
L	06	2014	D	D	1831.00000000
L	06	2014	D	L	16245.00000000
L	06	2014	D	O	3000.00000000
L	06	2014	D	S	10462.00000000
L	06	2014	E	L	4545.00000000
L	06	2014	E	N	1116.00000000
L	06	2014	E	O	3319.00000000
L	06	2014	E	S	5003.00000000
L	06	2014	N	N	5744.00000000
L	06	2014	N	O	2038.00000000
L	06	2015	D	D	1793.00000000
L	06	2015	D	L	14640.00000000
L	06	2015	D	O	2932.00000000
L	06	2015	D	S	9470.00000000
L	06	2015	E	L	4476.00000000
L	06	2015	E	N	921.00000000
L	06	2015	E	O	2692.00000000
L	06	2015	E	S	4152.00000000
L	06	2015	N	N	4698.00000000
L	06	2015	N	O	1647.00000000
L	09	1972	D	D	11.00000000
L	09	1972	D	O	10.00000000
L	09	1972	D	S	11.00000000
L	09	1972	E	L	68.00000000
L	09	1973	D	D	30.00000000
L	09	1973	D	L	186.00000000
L	09	1973	D	S	45.00000000
L	09	1974	D	D	6.00000000
L	09	1977	D	L	96.00000000
L	09	1977	E	L	13.00000000
L	09	1977	E	N	5.00000000
L	09	1977	E	O	13.00000000
L	09	1977	E	S	35.00000000
L	09	1977	N	N	14.00000000
L	09	1977	N	O	13.00000000
L	09	1978	D	L	44.00000000
L	09	1978	D	O	31.00000000
L	09	1978	D	S	5.00000000
L	09	1978	E	L	91.00000000
L	09	1978	E	S	17.00000000
L	09	1979	D	D	9.00000000
L	09	1980	E	N	2.00000000
L	09	1980	E	O	11.00000000
L	09	1981	D	D	7.00000000
L	09	1981	E	N	5.00000000
L	09	1981	E	O	13.00000000
L	09	1981	E	S	18.00000000
L	09	1984	D	D	10.00000000
L	09	1984	D	L	91.00000000
L	09	1985	E	O	9.00000000
L	09	1986	D	L	32.00000000
L	09	1986	D	O	25.00000000
L	09	1988	D	L	18.00000000
L	09	1988	N	O	14.00000000
L	09	1989	D	L	47.00000000
L	09	1989	D	O	14.00000000
L	09	1989	D	S	11.00000000
L	09	1989	N	O	13.00000000
L	09	1990	E	L	13.00000000
L	09	1992	D	D	11.00000000
L	09	1992	D	L	168.00000000
L	09	1993	D	D	12.00000000
L	09	1993	D	S	24.00000000
L	09	1993	E	L	69.00000000
L	09	1994	D	D	11.00000000
L	09	1994	D	L	169.00000000
L	09	1994	D	O	77.00000000
L	09	1994	D	S	74.00000000
L	09	1994	E	L	170.00000000
L	09	1994	E	N	11.00000000
L	09	1994	E	O	30.00000000
L	09	1994	E	S	66.00000000
L	09	1994	N	N	19.00000000
L	09	1994	N	O	14.00000000
L	09	1995	D	D	12.00000000
L	09	1996	D	D	19.00000000
L	09	1996	D	L	135.00000000
L	09	1996	D	O	23.00000000
L	09	1996	D	S	14.00000000
L	09	1996	E	L	56.00000000
L	09	1999	D	D	10.00000000
L	09	1999	D	S	22.00000000
L	09	2000	D	L	74.00000000
L	09	2000	D	S	19.00000000
L	09	2000	E	O	11.00000000
L	09	2002	D	D	21.00000000
L	09	2002	D	O	25.00000000
L	09	2002	D	S	21.00000000
L	09	2002	E	L	137.00000000
L	09	2002	N	O	13.00000000
L	09	2004	D	O	11.00000000
L	09	2004	D	S	14.00000000
L	09	2006	D	D	33.00000000
L	09	2006	D	L	64.00000000
L	09	2006	D	S	23.00000000
L	09	2009	D	D	13.00000000
L	09	2009	D	L	44.00000000
L	09	2009	D	S	35.00000000
L	09	2009	N	O	14.00000000
L	09	2010	D	D	10.00000000
L	09	2010	D	L	43.00000000
L	09	2011	D	D	21.00000000
L	09	2011	E	O	18.00000000
L	09	2011	N	N	4.00000000
L	09	2012	D	L	22.00000000
L	09	2012	D	O	41.00000000
L	09	2012	D	S	20.00000000
L	09	2012	E	L	83.00000000
L	09	2012	E	O	13.00000000
L	09	2012	E	S	28.00000000
L	09	2013	D	L	59.00000000
L	09	2013	N	O	14.00000000
L	09	2015	D	D	9.00000000
L	09	2015	D	L	42.00000000
L	18C	1971	D	D	1960.00000000
L	18C	1971	D	L	25794.00000000
L	18C	1971	D	O	446.00000000
L	18C	1971	D	S	1398.00000000
L	18C	1971	E	L	5867.00000000
L	18C	1971	E	N	49.00000000
L	18C	1971	E	O	209.00000000
L	18C	1971	E	S	274.00000000
L	18C	1971	N	N	281.00000000
L	18C	1971	N	O	213.00000000
L	18C	1972	D	D	1933.00000000
L	18C	1972	D	L	26449.00000000
L	18C	1972	D	O	568.00000000
L	18C	1972	D	S	1406.00000000
L	18C	1972	E	L	6208.00000000
L	18C	1972	E	N	57.00000000
L	18C	1972	E	O	285.00000000
L	18C	1972	E	S	326.00000000
L	18C	1972	N	N	220.00000000
L	18C	1972	N	O	267.00000000
L	18C	1973	D	D	1849.00000000
L	18C	1973	D	L	24197.00000000
L	18C	1973	D	O	439.00000000
L	18C	1973	D	S	1304.00000000
L	18C	1973	E	L	5103.00000000
L	18C	1973	E	N	60.00000000
L	18C	1973	E	O	259.00000000
