icao_aircraft,iata_aircraft,icao_airline,iata_airline,ac_cat,wtc,safety_cat,mtow,motor,comment
SH33,,,,1/3,,1,0,,
SH36,,,,1/4,,1,12,,
SH5,,,,,,0,0,,
SR20,,,,004,,4,1,,
SR22,,,,004,,4,2,,
STAR,,,,004,,4,0,,
SUBA,,,,004,,4,0,,
SW2,,,,004,,1,5,,
SW3,,,,004,,1,6,,
SW4,,,,1/3,,1,7,,
T134,,,,3/1,,2,0,,
T154,,,,5/2,,2,104,,
T204,,,,5/2,,3,108,,
T50,,,,,,0,0,,
TAMP,,,,004,,4,0,,
TB20,,,,004,,0,0,,
TB21,,,,004,,0,0,,
TBM7,,,,004,,4,3,,
TBM8,,,,004,,4,3,,
TMOT,,,,004,,4,0,,
TOBA,,,,004,,4,1,,
TRIS,,,,,,0,0,,
UH1,,,,012,,0,0,,
VC10,,,,,,2,0,,
VF14,,,,2/2,,2,0,,
VISC,,,,,,0,0,,
WW23,,,,1/3,,1,0,,
WW24,,,,1/3,,1,0,,
YK40,,,,2/2,,1,16,,
YK42,,,,3/2,,2,58,,
ZZZZ,,,,,,0,0,,
E195,,,,3/3,,3,53,,
G280,,,,2/4,,3,18,,
E545,,,,2/4,,3,17,,
LJ75,,,,1/4,,3,10,,
E550,,,,2/4,,3,18,,
FA8X,,,,2/4,,3,34,,
A21N,,,,4/4,,3,94,,
